A1,Account,Advertising and Collaboration,Features,Limits,Payments,Refunds,Security,Troubleshooting
"Здравствуйте! Я заметил, что ваш сервис предоставляет возможность суммаризации текстов. Однако, интересует меня, можно ли также применять его для сжатия аудиозаписей или видеофайлов? Мне было бы очень удобно иметь такую функциональность.",0,0,0,0,0,0,0,0
Добрый день! Можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей?,0,0,0,0,0,0,0,0
"Привет! Я обнаружил, что при использовании вашей функции поиска, результаты отображаются в неправильном порядке. Нужно отсортировать их правильно.",0,0,0,0,0,0,0,0
"Добрый день, уже несколько раз пробовал сбросить пароль, но письма с временным паролем не приходят на мою почту. Что делать? Очень нужно войти в свой аккаунт.",0,0,0,0,0,0,0,0
"Здравствуйте, я случайно оформил подписку, не полностью понимая ее условия. Я хотел бы отменить ее и получить возврат средств.",0,0,0,0,0,0,0,0
"добрый день, я не доволен качеством вашего сервиса и хотел бы отказаться от подписки. как вернуть деньги?",0,0,0,0,0,0,0,0
"А что значат лимиты сервиса? Почему мне доступен только миллион символов? Или это миллион символов в месяц? Честно говоря, немного не понял.",0,0,0,0,0,0,0,0
"Здравствуйте, я хотел бы отказаться от подписки и получить возврат денег, так как услуга не соответствует моим ожиданиям.",0,0,0,0,0,0,0,0
"Добрый день, я оплатил подписку, но не могу войти в свой аккаунт. Пожалуйста, помогите решить эту проблему.",0,0,0,0,0,0,0,0
"решением проблемы могло бы быть копирование в ворд с сохранением изменненого текста, тогда хоть как то удобно, а так копирую текст в ворд и там правлю смотрю еще в браузер, вообщем взрыв мозга",0,0,0,0,0,0,0,0
Как я могу отписаться от автопродления подписки?,0,0,0,0,0,0,0,0
"Приветствую! Мне не удается изменить пароль в своем аккаунте. Каждый раз, когда пытаюсь сохранить новый пароль, появляется ошибка. Что происходит? Мне нужно обновить пароль по соображениям безопасности.",0,0,0,0,0,0,0,0
"здарова! я тут пользуюсь вашим сервисом, но у меня проблемка. каковы лимиты по символам? мне надо больше писать!",0,0,0,0,0,0,0,0
"Здравствуйте, сайт работает некорректно, некоторые функции не открываются. Прошу исправить проблему.",0,0,0,0,0,0,0,0
"Добрый день, я зарегистрировался на вашем сайте, но не получил письмо с подтверждением регистрации и временным паролем. Я не могу начать пользоваться сервисом. Что делать в такой ситуации?",0,0,0,0,0,0,0,0
"Здравствуйте, у меня возникла проблема с отображением текста на вашем сервисе. Некоторые символы исказились и выглядят неправильно. Пожалуйста, посмотрите, что происходит, и исправьте это.",0,0,0,0,0,0,0,0
Как отписаться от автопродления подписки?,0,0,0,0,0,0,0,0
"Привет! Я забыл свой пароль и пытался восстановить его через отправку на почту, но не получил ни одного письма. У меня есть срочная необходимость в доступе к своему аккаунту. Пожалуйста, исправьте эту проблему.",0,0,0,0,0,0,0,0
"здравствуйте! есть ли возможность оплатить сервис через банковское приложение, используя QR-код или номер счета?",0,0,0,0,0,0,0,0
"Привет, я изменил свое решение относительно подписки и хотел бы ее отменить. Как получить возврат денег?",0,0,0,0,0,0,0,0
"Здравствуйте, у меня возникла проблема с вашим сервисом, и я просто не понимаю, как вы могли такую хрень выпустить. Какой толк от подписки, если ничего не работает? Очень разочарован!",0,0,0,0,0,0,0,0
"Здравствуйте, я не осознавал, что подписка будет продлеваться автоматически. Могу ли я получить свои деньги назад?",0,0,0,0,0,0,0,0
"Приветствую! Я заметил, что в последнее время сервис работает очень медленно, страницы загружаются с большой задержкой. Пожалуйста, улучшите производительность.",0,0,0,0,0,0,0,0
"здравствуйте! скажите, сколько я могу отправить символов на суммаризацию? есть ли у вас API для этого?",0,0,0,0,0,0,0,0
"Хотелось бы попросить выйти со всех авторизированных устройств, тк забыла выйти не на своем компьютере. Чтобы другие люди не пользовались моей подпиской.",0,0,0,0,0,0,0,0
Когда уже можно будет пользоваться?,0,0,0,0,0,0,0,0
"Оплатила подписку, не заходит на аккаунт",0,0,0,0,0,0,0,0
"Привет, я случайно заблокировал свой аккаунт, пытаясь ввести неправильный пароль несколько раз. Не могли бы вы разблокировать его и отправить мне новый пароль? Извините за доставленные неудобства.",0,0,0,0,0,0,0,0
"Здравствуйте! Я хочу вам сообщить, что ваша система совершенно дебильная. Я делаю все по инструкции, но ничего не работает. Почему вы не можете создать нормальный сервис?",0,0,0,0,0,0,0,0
"Приветствую! Я недавно начал использовать ваш сервис и хотел бы узнать, есть ли у вас функция автоматического распознавания и извлечения ключевых фраз из текстовых документов? Мне это очень поможет в сокращении времени на анализ больших объемов информации.",0,0,0,0,0,0,0,0
"Здравствуйте, некоторые ссылки на вашем сайте не работают. Когда я нажимаю на них, происходит перенаправление на неправильную страницу. Необходимо исправить эту проблему.",0,0,0,0,0,0,0,0
"Здравствуйте! У меня есть опыт работы с размещением рекламы на YouTube, Instagram и ВКонтакте. Если вас интересует сотрудничество, я могу предоставить вам информацию о наших услугах.",0,0,0,0,0,0,0,0
"Здравствуйте. Мне нужно много текстов трансформировать, как это можно сделать, чтобы не по по дному?",0,0,0,0,0,0,0,0
привет! есть ли у вас возможность оплаты наличными при личной встрече или в офисе компании?,0,0,0,0,0,0,0,0
"Добрый день, Александра! Я хотел(а) бы выразить вам свою благодарность за ваш курс по копирайтингу. Он дал мне ценные знания и навыки. Я задумался(ась) о возможности личного сотрудничества с вами, чтобы продолжать развиваться и получать дополнительную поддержку. Буду рад(а) обсудить этот вопрос.",0,0,0,0,0,0,0,0
"Привет! Я представляю рекламное агентство и хотел бы обсудить возможность размещения вашей рекламы на наших партнерских платформах. У нас есть широкая аудитория и мы готовы предложить вам конкурентные условия для продвижения вашего бренда. Если вы заинтересованы, дайте мне знать, чтобы мы могли обсудить детали и подготовить предложение специально для вас.",0,0,0,0,0,0,0,0
"Здраствуйте, сайт не работает прошу исправить",0,0,0,0,0,0,0,0
"Здравствуйте, пару дней назад приобрела подписку на ваш продукт, и сегодня несколько часов как ничего не работает. Я очень спешу, могли бы вы подсказать, через сколько примерно все заработает? Спасибо.",0,0,0,0,0,0,0,0
"Приветствую! Мы - команда маркетологов с опытом работы в сфере цифрового маркетинга. Мы готовы предложить вам услуги по созданию и оптимизации рекламных кампаний, включая контекстную рекламу, социальные медиа и поисковое продвижение. Если вы ищете надежного партнера для улучшения вашего маркетинга, дайте мне знать, чтобы мы могли обсудить детали и предоставить вам решение, которое подойдет именно вам.",0,0,0,0,0,0,0,0
"Привет! Я новый пользователь вашего сервиса и хотел бы узнать, есть ли возможность увеличить лимиты символов или запросов за определенный период времени? Мне потребуется больше ресурсов для обработки текстов и я хотел бы узнать, как это можно сделать.",0,0,0,0,0,0,0,0
Добрый день у нас кончился объем символов можно ли докупать дополнительные? мы оплатили тариф на год сразу,0,0,0,0,0,0,0,0
Здравствуйте! Как я могу автоматически извлечь ключевые фразы из большого объема текста с помощью вашего сервиса?,0,0,0,0,0,0,0,0
"Приветствую! Я уже потратил столько времени, пытаясь сделать что-то на вашем сайте, но ничего не работает как надо. Это просто бред! Надеюсь, вы почините эту дерьмовую систему.",0,0,0,0,0,0,0,0
"Здравствуйте, у меня тут проблема с вашим сервисом. Он глючит постоянно, и это меня бесит. Когда наконец вы исправите эту дерьмовую ошибку?",0,0,0,0,0,0,0,0
"Доброго времени суток! Когда я пытаюсь отправить форму на вашем сайте, ничего не происходит, и страница просто обновляется. Это баг, который нужно исправить.",0,0,0,0,0,0,0,0
добрый день! можно ли оплатить сервис через мобильное приложение вашей компании?,0,0,0,0,0,0,0,0
"Здравствуйте! Я имею опыт в размещении рекламы на различных платформах и готов помочь вам с вашими потребностями в продвижении. Если вы заинтересованы в дальнейшем обсуждении, я могу предоставить вам дополнительные детали.",0,0,0,0,0,0,0,0
"Ничего не работает, в правой стороне пишет тотже текст, что и влево",0,0,0,0,0,0,0,0
"Добрый день! Как я могу отписаться от автопродления подписки? Хочу убедиться, что мне не будут автоматически списываться деньги после окончания текущего периода подписки.",0,0,0,0,0,0,0,0
"Я оплатив підписку лише на місяць, чому у мене знову відняло гроші? Я не планував продлювати підписку і користуватися цим додатком",0,0,0,0,0,0,0,0
"Здравствуйте, я хотел бы отключить подписку. Пожалуйста, объясните мне, как это сделать.",0,0,0,0,0,0,0,0
"Добрый день! Скажите, каким образом в следующий раз можно будет оплатить сервис по безналу через юрлицо?",0,0,0,0,0,0,0,0
"Здравствуйте, я хотел бы удалить свой аккаунт и все связанные с ним данные. Пожалуйста, предоставьте мне инструкции о том, как это сделать.",0,0,0,0,0,0,0,0
Как удалить аккаунт?,0,0,0,0,0,0,0,0
"Здравствуйте, при попытке смены пароля возникает сообщение об ошибке, и я не могу войти в свой аккаунт. Это создает серьезные проблемы с безопасностью. Прошу вас исправить эту ошибку как можно скорее.",0,0,0,0,0,0,0,0
"привет! я оплатила подписку, но не получила доступ к сервису. могли бы вы вернуть мои деньги?",0,0,0,0,0,0,0,0
"Добрый день! Я активный пользователь вашего сервиса и очень доволен его функциональностью. Однако, хотелось бы узнать, какие лимиты установлены на количество символов или запросов для каждого типа задач? Я хочу понять, как оптимально использовать сервис в рамках этих ограничений.",0,0,0,0,0,0,0,0
Приветствую! Я забыл свой логин и пароль от аккаунта. Можете ли вы помочь мне и восстановить доступ к моей учетной записи?,0,0,0,0,0,0,0,0
"Добрый день, я оплатил подписку, но не могу получить доступ к необходимым мне функциям. Я хочу отказаться от подписки и вернуть деньги.",0,0,0,0,0,0,0,0
"Добрый день, как я могу выйти из своего аккаунта?",0,0,0,0,0,0,0,0
"Добрый день! Я преподаватель и ищу инструмент, который поможет моим студентам автоматически проверять тексты на орфографические и грамматические ошибки. Подскажите, есть ли у вашего сервиса функция проверки текста на ошибки и предоставления рекомендаций по исправлению?",0,0,0,0,0,0,0,0
"Добрый день, я пытаюсь загрузить файлы на вашу платформу, но получаю ошибку каждый раз. Я уже потратил много времени на это, и это становится невыносимо. Что вы собираетесь предпринять, чтобы исправить эту проблему?",0,0,0,0,0,0,0,0
Здравствуйте! Ранее писала вам о возврате средств также хочу чтобы вы удалили все мои персональные данные ( написано в условиях обработки персональными данными) и отвязали мою карту от вашего сайта. Я НЕ ХОЧУ повторного списания и не знала что оплата взимается автоматически за продление( нигде об этом сказано не было!) И снова прошу возврат денежных средств.,0,0,0,0,0,0,0,0
"привет, я неудачно подписался на вашу услугу и не могу ее отменить. как получить деньги назад?",0,0,0,0,0,0,0,0
"Добрый день, некоторые изображения на вашем сайте не отображаются, вместо них показывается ошибочное изображение. Просьба исправить эту проблему.",0,0,0,0,0,0,0,0
"Приветствую, я не получаю достаточную пользу от вашей подписки и хотел бы ее отменить. Как я могу получить возврат денег?",0,0,0,0,0,0,0,0
"Здравствуйте, сегодня были списаны деньги за подписку, но я больше не нуждаюсь в ней. Могу ли я получить возврат средств?",0,0,0,0,0,0,0,0
"Здравствуйте, я случайно продлил подписку на ваш сервис. Могу ли я отменить ее и вернуть деньги?",0,0,0,0,0,0,0,0
"Здравствуйте, Высвечивается ошибка ""привет, произошел сбой у провайдера! сейчас узнаем в чем дело и все заработает. приносим извинения!""",0,0,0,0,0,0,0,0
"Здравствуйте, как я могу изменить адрес электронной почты, связанный с аккаунтом?",0,0,0,0,0,0,0,0
"Приветствую! Я занимаюсь размещением рекламы на различных платформах и готов предложить вам свои услуги. Если вас интересует дальнейшее сотрудничество, я могу отправить вам более подробные сведения.",0,0,0,0,0,0,0,0
Добрый день. Планирую использовать Ваш сервис. Есть вопросы: Какой максимальной длины текст можно отправить на суммаризацию за 1 раз? Есть ли API для суммаризации? Заранее спасибо.,0,0,0,0,0,0,0,0
"Приветствую! Мне нужно изменить адрес электронной почты, связанный с моим аккаунтом. Как я могу это сделать? Желательно, чтобы процесс был максимально прост и быстр.",0,0,0,0,0,0,0,0
"доброго времени суток! я платил за подписку, но она не сработала. хотелось бы вернуть деньги обратно.",0,0,0,0,0,0,0,0
"Я не хочу, чтобы у меня списывались деньги в следующий месяц, как можно удалить свою карту?",0,0,0,0,0,0,0,0
"Добрый день, я случайно оформил подписку и хочу ее отменить. Пожалуйста, помогите вернуть мне деньги.",0,0,0,0,0,0,0,0
почему не работает программа в чем причина?,0,0,0,0,0,0,0,0
"Привет, у вас тут полный бардак! Функции, которые должны работать, вообще не функционируют. Я потратил кучу времени, пытаясь разобраться, но безуспешно. Когда вы собираетесь исправить все эти глюки и баги?",0,0,0,0,0,0,0,0
"Доброго дня! Меня зовут Алексей, и я представляю рекламную платформу, специализирующуюся на контекстной рекламе. Мы можем предложить вам эффективные рекламные кампании, которые помогут привлечь целевую аудиторию и увеличить вашу видимость в сети. Если вас интересует увеличение эффективности вашей рекламы, дайте мне знать, чтобы мы могли обсудить детали и подготовить предложение специально для вас.",0,0,0,0,0,0,0,0
"привет, я новичок. какие лимиты в бесплатной версии? можно ли их расширить или что-то такое?",0,0,0,0,0,0,0,0
"Приветствую, у меня была куплена подписка на этот месяц, но на моем аккаунте она так и не отобразилась. Что мне делать в этой ситуации?",0,0,0,0,0,0,0,0
"добрый вечер, я хочу отключить автопродление подписки. как это сделать, чтоб не списывались деньги?",0,0,0,0,0,0,0,0
"Добрый день, ваше обновление поломало функционал! То, что раньше работало отлично, теперь вызывает ошибки и некорректное отображение. Когда вы исправите этот баг и вернете все в порядок?",0,0,0,0,0,0,0,0
"Добрый вечер, я случайно активировал подписку, но не хочу использовать ваш сервис. Пожалуйста, верните мне деньги.",0,0,0,0,0,0,0,0
хочу удалить аккаунт,0,0,0,0,0,0,0,0
Привет! Как мне использовать ваш сервис для сжатия текстовых документов в формате PDF? Это возможно?,0,0,0,0,0,0,0,0
"Здравствуйте! Пару дней назад оформила у вас подписку на месяц, так как осталась довольна перефразированием текста. Все работало хорошо, однако сегодня весь день сайт выдает сбой у провайдера. Хотелось бы побыстрее закончить свою работу. Очень надеюсь на оперативное решение проблемы. Спасибо!",0,0,0,0,0,0,0,0
"Привет, хочу удалить свой аккаунт.",0,0,0,0,0,0,0,0
"Добрый день, я не удовлетворен качеством вашего сервиса и хотел бы отменить подписку. Как получить деньги обратно?",0,0,0,0,0,0,0,0
"Добрый день, сервис обходит антиплагиат.ру и антиплагиат.вуз?",0,0,0,0,0,0,0,0
"Здравствуйте, как я могу выйти из своего аккаунта? Не вижу соответствующей опции на странице. Хочу быть уверен, что мой аккаунт не остается открытым на общедоступном компьютере.",0,0,0,0,0,0,0,0
"привет, случайно активировал подписку и теперь не знаю, как ее отменить. помогите, плиз!",0,0,0,0,0,0,0,0
"Здравствуйте.Произошло списание за подписку,599 руб.Забыла отменить автопродление подписки. В ней больше не нуждаюсь. Просьба вернуть деньги !",0,0,0,0,0,0,0,0
Какие функции имеет бесплатная версия?,0,0,0,0,0,0,0,0
"Привет! Я не знаю, что за хрень происходит, но ваш сайт работает как говно. Я пытаюсь сделать простую операцию, а он валится с ошибкой. Ну серьезно, когда вы наконец почините эту дерьмовую штуку?",0,0,0,0,0,0,0,0
"Приветствую, Дмитрий! Меня зовут Анна, и я являюсь вашим фанатом. Ваш курс по копирайтингу вдохновил меня, и я хотела бы узнать, есть ли возможность личного сотрудничества с вами. Было бы замечательно получить индивидуальные советы и руководство, чтобы развивать свои навыки в этой области.",0,0,0,0,0,0,0,0
"Здравствуйте, мне было обещано определенное количество услуг в рамках подписки, но я не получил их. Я хочу отказаться от подписки и получить полный возврат средств.",0,0,0,0,0,0,0,0
Как увеличить количество символов?,0,0,0,0,0,0,0,0
"Добрый день, я был подписан на вашу услугу без моего разрешения. Я хочу отказаться от подписки и получить полный возврат средств.",0,0,0,0,0,0,0,0
"Здравствуйте, Екатерина! Я с удовольствием прошел ваш курс по копирайтингу и получил множество полезных знаний. Хотелось бы узнать, есть ли возможность сотрудничества с вами, чтобы продолжить развиваться и получать обратную связь от вас. Буду признателен(а) за возможность обсудить этот вопрос.",0,0,0,0,0,0,0,0
добрый день! можно ли оплатить сервис через банковский чек или перевод с расчетного счета?,0,0,0,0,0,0,0,0
"Привет! Мне интересно, можно ли использовать ваш сервис для автоматического создания заголовков статей или новостей? Я работаю в издательской компании и подобная функция помогла бы нам значительно сэкономить время и улучшить эффективность работы.",0,0,0,0,0,0,0,0
"привет, есть вопрос. зачем мне ограничение по запросам? могу я просто использовать сервис сколько угодно?",0,0,0,0,0,0,0,0
"здравствуйте! подскажите, можно ли оплатить ваш сервис через международный банковский перевод?",0,0,0,0,0,0,0,0
"приветствую! подскажите, принимаете ли вы оплату через банковскую карту Visa или Mastercard?",0,0,0,0,0,0,0,0
Привет! Я неудачно подписался на вашу услугу и хочу отказаться от нее. Я могу рассчитывать на возврат средств?,0,0,0,0,0,0,0,0
"Здравствуйте, как я могу зайти в свою учетную запись на другом компьютере?",0,0,0,0,0,0,0,0
"привет! подскажите, можно ли оформить подписку на ваш сервис и оплатить ее через систему рассрочки или кредит?",0,0,0,0,0,0,0,0
Почему сервис периодически зависает и я вынужден тратить дополнительные символы на перефразирование одного и того же текста и тратить свое время на последующее его редактирование,0,0,0,0,0,0,0,0
"Добрый день! У меня есть возможность помочь вам с размещением рекламы на платформах, таких как YouTube, Instagram и ВКонтакте. Я предоставлю вам информацию о наших услугах, если это вас интересует.",0,0,0,0,0,0,0,0
"Здравствуйте! Я прочитал о ваших лимитах использования сервиса, и меня интересует, можно ли расширить эти лимиты, чтобы мои возможности были больше. Есть ли у вас возможность предоставить пользовательские планы с дополнительными лимитами?",0,0,0,0,0,0,0,0
доброго времени суток! есть ли у вас опции оплаты через мобильные операторы или сервисы мобильной связи?,0,0,0,0,0,0,0,0
"Добрый день, при попытке сохранить изменения в моем профиле, возникает ошибка ""Не удалось обновить данные"". Прошу вас исправить этот баг.",0,0,0,0,0,0,0,0
"Здравствуйте! Забыла свой пароль, а где его восстановить - не вижу. Подскажите, пожалуйста. Сервис нравится, хотелось бы пользоваться постоянно. С уважением, Виолетта.",0,0,0,0,0,0,0,0
Здравствуйте! Я хочу зайти в свою учетную запись на другом компьютере. Как мне это сделать? Нужны ли мне какие-то особые данные или настройки?,0,0,0,0,0,0,0,0
"Доброго дня! Скажите, авторизация в кабинет работает только через ""временный пароль на email"" или можно установить постоянный пароль для входа?",1,0,0,0,0,0,0,0
"Здравствуйте,у меня сняли деньги за подписку,прошу вернуть средства так как продление подписки не было согласовано со мной, я не нажимала нигде чтобы подписка продлилась автоматически. Прошу вернуть мои 499₽",0,0,0,0,0,0,0,0
"здравствуйте! у вас есть поддержка оплаты через системы электронных кошельков, например, Apple Pay или Google Pay?",0,0,0,0,0,0,0,0
"добрый день! есть ли возможность оплатить сервис с помощью электронных платежных систем, таких как WebMoney или Yandex.Money?",0,0,0,0,0,0,0,0
привет! можно ли оплатить ваш сервис с помощью банковского перевода?,0,0,0,0,0,0,0,0
"Здравствуйте, при использовании определенной функции сервис выдает ошибку ""Не удалось сохранить изменения"". Это мешает мне выполнить необходимые действия. Необходимо исправить этот баг.",0,0,0,0,0,0,0,0
Хочу вернуть деньги за подписку на месяц. Сервис не работает. Кнопка уникальности врёт.,0,0,0,0,0,0,0,0
доброго времени суток! можно ли оплатить ваш сервис через SMS-платежи?,0,0,0,0,0,0,0,0
"Здравствуйте, я уже несколько раз пытался сбросить пароль, но система не отправляет мне письмо с инструкциями. Я беспокоюсь о безопасности моего аккаунта. Прошу помощи в данном вопросе.",0,0,0,0,0,0,0,0
как отключить подписку?,0,0,0,0,0,0,0,0
Приветствую! Я случайно активировал подписку и не могу ее отменить. Не могли бы вы помочь мне с возвратом средств?,0,0,0,0,0,0,0,0
"Привет, мне нужно удалить свой аккаунт. Как мне это сделать?",0,0,0,0,0,0,0,0
"Доброго времени суток! Я занимаюсь исследовательской работой и нуждаюсь в инструменте, который поможет мне категоризировать большие объемы текстовой информации по ключевым темам. Есть ли у вашего сервиса функция автоматической классификации текстов?",0,0,0,0,0,0,0,0
"привет! я не понимаю эти лимиты, почему такие маленькие? можно ли их увеличить?",0,0,0,0,0,0,0,0
"здравствуйте, у меня была подписка куплена на этот месяц, за 24.04 пришел чек, но подписки на этом аккаунте так и не отобразилась. что делать?",0,0,0,0,0,0,0,0
"здравствуйте, я случайно активировал пробную подписку, а она мне не нужна. можно вернуть деньги?",0,0,0,0,0,0,0,0
"Есть вопрос. ""Суммаризация до 1 000 раз"" это за какой период?",0,0,0,0,0,0,0,0
здравствуйте! есть ли у вас возможность автоматического списания средств с банковской карты каждый месяц?,0,0,0,0,0,0,0,0
Сегодня списали деньги. Но я не хочу больше пользоваться подпиской. Просьба вернуть деньги и отключить подписку!,0,0,0,0,0,0,0,0
Как зайти в эту программу на другом компьютере. Какой мой логин и пароль?,0,0,0,0,0,0,0,0
"Добрый день, я очень разочарован вашим сервисом. Это просто бардак! Я не могу сделать даже самые простые вещи из-за ваших ошибок. Когда вы исправите все эти говно-баги?",0,0,0,0,0,0,0,0
"Приветствую! Я воспользовался вашим сервисом, но он не отвечает моим ожиданиям. Функционал неудобный, интерфейс запутанный, а скорость работы ужасная. Я рассчитывал на качественный продукт, но получил полный провал. Разочарован!",0,0,0,0,0,0,0,0
"Здравствуйте, сервис периодически выдает ошибку 500 ""Внутренняя ошибка сервера"". Это создает неудобства при работе. Пожалуйста, исправьте эту проблему.",0,0,0,0,0,0,0,0
"Здравствуйте! Подскажите, у вас есть функция проверки текста на орфографические ошибки и предоставления рекомендаций по исправлению?",0,0,0,0,0,0,0,0
Добрый день! Хотел бы удалить свой аккаунт. Какую процедуру я должен пройти для полного удаления всех моих данных?,0,0,0,0,0,0,0,0
Расскажите о лимитах в бесплатной версии,0,0,0,0,0,0,0,0
"Здравствуйте, я уже несколько раз обращался в службу поддержки с проблемой, но так и не получил должного решения. Ваш сервис непригоден к использованию, и я требую полного возврата денег. Это абсолютно неприемлемо!",0,0,0,0,0,0,0,0
"Привет, Михаил! Меня зовут Наталья. Я прошла ваш копирайтерский тренинг и получила отличные результаты благодаря вашим наставлениям. Я хотела бы узнать, есть ли возможность продолжить сотрудничество с вами, чтобы развиваться в этой области и получать обратную связь от вас. Буду признательна за возможность обсудить эту идею.",0,0,0,0,0,0,0,0
"Привет, как я могу сделать так, чтобы подписка не продлевалась автоматически?",0,0,0,0,0,0,0,0
"Здравствуйте, оплатил подписку, а она не активизировалась. Просит снова преобрести подписку для использования услуг сайта",0,0,0,0,0,0,0,0
Не очень понял как грузить в левую колонку документы. У меня много материала в pdf формате Хотел прогнать через сервис суммаризации для ускорения работы. Но не понимаю пока как это сделать. Это возможно?,0,0,0,0,0,0,0,0
"Доброго времени суток! Ваш сервис полный отстой. Каждый раз, когда я пытаюсь сделать что-то, он лагает и выдает ошибку. Это просто пипец! Вам нужно нанять нормальных программистов или закрыть этот бардак!",0,0,0,0,0,0,0,0
"Здравствуйте, я не хочу, чтобы у меня списывались деньги в следующий месяц. Как я могу удалить свою карту и отменить подписку?",0,0,0,0,0,0,0,0
"Привет! Можете рассказать мне о лимитах, существующих в бесплатной версии аккаунта? Хочу знать, что я могу делать и на что я ограничен.",0,0,0,0,0,0,0,0
"Здравствуйте! Я уже несколько раз пытался войти в свой аккаунт, но каждый раз получаю ошибку ""Неверное имя пользователя или пароль"". Что за фигня происходит? Неужели вы не можете сделать нормальную авторизацию?",0,0,0,0,0,0,0,0
"Привет! Я представляю одну компанию, которая специализируется на маркетинговых решениях. Мы предлагаем размещение рекламы на популярных платформах, таких как YouTube, Instagram и ВКонтакте. Если вам интересно обсудить возможности сотрудничества, я могу предоставить более подробную информацию.",0,0,0,0,0,0,0,0
"Привет, уже несколько дней у меня возникает проблема с загрузкой файлов на вашем сервисе. Они просто не загружаются и происходит сбой. Пожалуйста, проверьте и исправьте эту ошибку.",0,0,0,0,0,0,0,0
"Здравствуйте, расскажите пожалуйста о лимитах в бесплатной версии.",0,0,0,0,0,0,0,0
"Приветствую! Я восхищаюсь вашим сервисом, но у меня возник вопрос о лимитах. Скажите, существуют ли какие-либо ограничения на количество запросов в день или в час? Или же я могу использовать сервис без ограничений?",0,0,0,0,0,0,0,0
"Здравствуйте! Я работаю в качестве PR-менеджера и предлагаю сотрудничество с вашей компанией. Мы можем организовать партнерскую программу, которая поможет увеличить вашу видимость и привлечь новых клиентов. Если вас интересует возможность партнерства, я готов обсудить детали и предоставить вам дополнительную информацию.",0,0,0,0,0,0,0,0
"Привет! Я случайно продлил подписку на вашу услугу, но мне не нужно ее использовать. Пожалуйста, верните мне деньги.",0,0,0,0,0,0,0,0
"Здравствуйте, я потерял доступ к аккаунту, но деньги все равно были списаны за подписку. Я могу рассчитывать на возврат?",0,0,0,0,0,0,0,0
"привет! можно ли оплатить ваш сервис с помощью криптовалюты, например, Bitcoin или Ethereum?",0,0,0,0,0,0,0,0
Приветствую! Есть ли у вашего сервиса функция автоматической классификации текстов по ключевым темам?,0,0,0,0,0,0,0,0
"Привет, я забыл свой логин и пароль. Как мне их восстановить?",0,0,0,0,0,0,0,0
"Здравствуйте, я не был уведомлен о продлении подписки и не хочу платить за услугу, которую больше не использую. Хотелось бы вернуть деньги.",0,0,0,0,0,0,0,0
"Привет! Почему ваш сервис так медленно работает? Я теряю кучу времени из-за задержек при загрузке страниц и выполнении операций. Пожалуйста, ускорьте его работу или я буду вынужден искать альтернативные решения.",0,0,0,0,0,0,0,0
"здравствуйте! подскажите, принимаете ли вы платежи через PayPal?",0,0,0,0,0,0,0,0
"я авторизовался, а сайт до сих пор пишет, что я превысил лимит",0,0,0,0,0,0,0,0
"здравствуйте, не хочу продолжать использовать вашу подписку. можно отменить и вернуть деньги?",0,0,0,0,0,0,0,0
"Добрый день, я уже отменил подписку, но мои деньги все равно были списаны. Как я могу получить возврат?",0,0,0,0,0,0,0,0
"Здравствуйте! Меня интересует, какие лимиты установлены для использования вашего сервиса в рамках бесплатной версии. Я хотел бы понять, сколько символов или запросов я могу обработать, чтобы эффективно планировать свою работу. Если есть возможность расширить эти лимиты, я также хотел бы узнать об этом.",0,0,0,0,0,0,0,0
"Здравствуйте! Не могу восстановить пароль, так как на странице восстановления постоянно возникает ошибка. Это какая-то поломка в системе? Пожалуйста, помогите решить проблему.",0,0,0,0,0,0,0,0
"Добрый день! Подскажите, имеется ли у вас в платной подписке доступ к API? Если да, какие установлены лимиты и есть ли документация? Спасибо.",0,0,0,0,0,0,0,0
"Добрый день! У нас закончились лимиты, а до следующего месяца еще долго ждать (4 апреля). Подскажите я могу оплатить снова подписку ($10) и таким образом обновить лимиты в рамках данного аккаунта или мне нужно регистрировать новый аккаунт?",0,0,0,0,0,0,0,0
"Привет, я тут уже столько времени потратил, пытаясь разобраться с вашим сервисом. Все у вас поломано! Я пишу вам, чтобы вы починили эту хрень и вернули мне мои нервы!",0,0,0,0,0,0,0,0
"Не работает сервис. Уже несколько часов написано, что скоро все решат.",0,0,0,0,0,0,0,0
"Приветствую! Я был подписан на вашу услугу автоматически, но не хочу продолжать использовать ее. Как мне вернуть оплату?",0,0,0,0,0,0,0,0
Как выйти из аккаунта?,0,0,0,0,0,0,0,0
"здарова, я не хочу больше платить за эту подписку. как ее отменить и деньги вернуть?",0,0,0,0,0,0,0,0
